ID,NAME,longitude
3094,Graham Ave & Withers St,-73.94485918
3095,Graham Ave & Herbert St,-73.94500379
3096,Union Ave & N 12 St,-73.95242
3100,Nassau Ave & Newell St,-73.94752621650696
3101,N 12 St & Bedford Ave,-73.95484712
3102,Driggs Ave & Lorimer St,-73.9504154
3105,N 15 St & Wythe Ave,-73.955736
3106,Driggs Ave & N Henry St,-73.94308
3107,Bedford Ave & Nassau Ave,-73.95212324
3108,Nassau Ave & Russell St,-73.94434
3109,Banker St & Meserole Ave,-73.95621
3110,Meserole Ave & Manhattan Ave,-73.95299117
3112,Milton St & Franklin St,-73.95779
3113,Greenpoint Ave & Manhattan Ave,-73.95394
3115,India St & Manhattan Ave,-73.9550858
3116,Huron St & Franklin St,-73.95826
3117,Franklin St & Dupont St,-73.95866
3118,McGuinness Blvd & Eagle St,-73.95284
3119,Vernon Blvd & 50 Ave,-73.95411749
3121,Jackson Ave & 46 Rd,-73.94733276
3122,48 Ave & 5 St,-73.9558732509613
3123,31 St & Thomson Ave,-73.93540375
3124,46 Ave & 5 St,-73.95451
3125,45 Rd & 11 St,-73.94977234
3126,44 Dr & Jackson Ave,-73.9432635
3127,9 St & 44 Rd,-73.9521
3128,21 St & 43 Ave,-73.94594845
3129,Queens Plaza North & Crescent St,-73.94073717
3130,21 St & Queens Plaza North,-73.94335788
3131,E 68 St & 3 Ave,-73.96224617958069
3132,E 59 St & Madison Ave,-73.97109243
3134,3 Ave & E 62 St,-73.96526895
3135,E 75 St & 3 Ave,-73.95772297
3136,5 Ave & E 63 St,-73.971518
3137,5 Ave & E 73 St,-73.96685276
3139,E 72 St & Park Ave,-73.96409422159195
3140,1 Ave & E 78 St,-73.9535166
3141,1 Ave & E 68 St,-73.95818491
3142,1 Ave & E 62 St,-73.96094022
3143,5 Ave & E 78 St,-73.96427392959595
3144,E 81 St & Park Ave,-73.9590097
3145,E 84 St & Park Ave,-73.95772073
3146,E 81 St & 3 Ave,-73.9567526
3147,E 85 St & 3 Ave,-73.95407149
3148,E 84 St & 1 Ave,-73.95068615
3150,E 85 St & York Ave,-73.94803392
3151,E 81 St & York Ave,-73.94989233
3152,3 Ave & E 71 St,-73.96119945
3154,E 77 St & 3 Ave,-73.95856158
3156,E 72 St & York Ave,-73.95348296
3157,East End Ave & E 86 St,-73.94446054
3158,W 63 St & Broadway,-73.98261428
3159,W 67 St & Broadway,-73.98266566
3160,Central Park West & W 76 St,-73.97374737
3161,W 76 St & Columbus Ave,-73.97728532552719
3163,Central Park West & W 68 St,-73.97782542
3164,Columbus Ave & W 72 St,-73.97898475
3165,Central Park West & W 72 St,-73.9762057363987
3166,Riverside Dr & W 72 St,-73.98562431335449
3167,Amsterdam Ave & W 73 St,-73.98093044757842
3168,Central Park West & W 85 St,-73.96961715
3169,Riverside Dr & W 82 St,-73.98128127
3170,W 84 St & Columbus Ave,-73.97283406
3171,Amsterdam Ave & W 82 St,-73.97667321
3172,W 74 St & Columbus Ave,-73.97754961
3173,Riverside Blvd & W 67 St,-73.98888587951659
3175,W 70 St & Amsterdam Ave,-73.98288594
3177,W 84 St & Broadway,-73.977112
3178,Riverside Dr & W 78 St,-73.98362492
3179,Park Ave & Marcus Garvey Blvd,-73.941342
3184,Paulus Hook,-74.0335519
3185,City Hall,-74.043845
3186,Grove St PATH,-74.04311746358871
3187,Warren St,-74.03805095
3191,Union St,-74.0836394
3192,Liberty Light Rail,-74.0557013
3193,Lincoln Park,-74.07840594649315
3194,McGinley Square,-74.06762212514877
3195,Sip Ave,-74.06391263008118
3196,Riverview Park,-74.0439909
3198,Heights Elevator,-74.04044330120087
3199,Newport Pkwy,-74.0321082
3201,Dey St,-74.066921
3202,Newport PATH,-74.0337589
3203,Hamilton Park,-74.044247311
3205,JC Medical Center,-74.0496379137039
3206,Hilltop,-74.0575736
3207,Oakland Ave,-74.0524783
3209,Brunswick St,-74.0506564
3210,Pershing Field,-74.051788633
3211,Newark Ave,-74.046304543
3212,Christ Hospital,-74.050443636
3213,Van Vorst Park,-74.047726625
3214,Essex Light Rail,-74.0364857
3220,5 Corners Library,-74.0595030784607
3221,47 Ave & 31 St,-73.93561
3225,Baldwin at Montgomery,-74.0641943
3226,W 82 St & Central Park West,-73.97137
3231,E 67 St & Park Ave,-73.96592080593109
3232,Bond St & Fulton St,-73.98304268717766
3233,E 48 St & 5 Ave,-73.97805914282799
3235,E 41 St & Madison Ave,-73.97992193698882
3236,W 42 St & Dyer Ave,-73.99379968643188
3241,Monroe St & Tompkins Ave,-73.944694
3242,Schermerhorn St & Court St,-73.99183362722397
3243,E 58 St & 1 Ave (NE Corner),-73.96226227283478
3244,University Pl & E 8 St,-73.99490341544151
3246,Montague St & Clinton St,-73.99230033159256
3249,Verona Pl & Fulton St,-73.9476791024208
3255,8 Ave & W 31 St,-73.9946848154068
3256,Pier 40 - Hudson River Park,-74.01129573583603
3259,9 Ave & W 28 St,-73.99923384189606
3260,Mercer St & Bleecker St,-73.99662137031554
3263,Cooper Square & Astor Pl,-73.99075269699097
3267,Morris Canal,-74.03852552175522
3268,Lafayette Park,-74.06285852193832
3269,Brunswick & 6th,-74.05038893222809
3270,Jersey & 6th St,-74.04557168483734
3272,Jersey & 3rd,-74.04595255851744
3273,Manila & 1st,-74.04288411140442
3275,Columbus Drive,-74.03891444206238
3276,Marin Light Rail,-74.04281705617905
3277,Communipaw & Berry Lane,-74.06661093235016
3278,Monmouth and 6th,-74.04879033565521
3279,Dixon Mills,-74.04996782541275
3280,Astor Place,-74.07126188278198
3281,Leonard Gordon Park,-74.0572714805603
3282,5 Ave & E 88 St,-73.95939
3283,W 89 St & Columbus Ave,-73.97041561
3284,E 88 St & Park Ave,-73.95595908164978
3285,W 87 St & Amsterdam Ave,-73.9747
3286,E 89 St & 3 Ave,-73.9521667
3287,W 87 St & West End Ave,-73.97757
3288,E 88 St & 1 Ave,-73.9488134
3289,W 90 St & Amsterdam Ave,-73.97288918495178
3290,E 89 St & York Ave,-73.946041
3292,5 Ave & E 93 St,-73.957481
3293,W 92 St & Broadway,-73.9739
3294,E 91 St & Park Ave,-73.955327
3295,Central Park W & W 96 St,-73.964839
3296,E 93 St & 2 Ave,-73.9489196240902
3297,6 St & 7 Ave,-73.97988067
3298,Warren St & Court St,-73.99383324
3299,E 98 St & Park Ave,-73.95206
3300,Prospect Park West & 8 St,-73.97637605667114
3301,Columbus Ave & W 95 St,-73.968087
3302,Columbus Ave & W 103 St,-73.9643412291
3303,Butler St & Court St,-73.99440329
3304,6 Ave & 9 St,-73.98377641
3305,E 91 St & 2 Ave,-73.94965589046478
3306,10 St & 7 Ave,-73.98199886
3307,West End Ave & W 94 St,-73.974124
3308,Kane St & Clinton St,-73.99645295
3309,E 97 St & 3 Ave,-73.94860294
3310,14 St & 7 Ave,-73.98396846
3311,Columbia St & Kane St,-74.0016256
3312,1 Ave & E 94 St,-73.94594
3313,6 Ave & 12 St,-73.9854617
3314,W 95 St & Broadway,-73.971888
3315,Henry St & Degraw St,-73.99917254
3317,10 St & 5 Ave,-73.98700053
3318,2 Ave & E 96 St,-73.9471673
3319,14 St & 5 Ave,-73.98895053
3320,Central Park West & W 100 St,-73.96286845207214
3321,Clinton St & Union St,-73.99785267
3322,12 St & 4 Ave,-73.9904394
3323,W 106 St & Central Park West,-73.9605909006
3324,3 Ave & 14 St,-73.99333264
3325,E 95 St & 3 Ave,-73.950503
3326,Clinton St & Centre St,-74.00194698
3327,3 Ave & E 100 St,-73.94728331
3328,W 100 St & Manhattan Ave,-73.9645
3329,Degraw St & Smith St,-73.99318208
3330,Henry St & Bay St,-74.00494695
3331,Riverside Dr & W 104 St,-73.9711457439
3332,Degraw St & Hoyt St,-73.99079024791718
3333,Columbia St & Lorraine St,-74.0075572
3335,Union St & 4 Ave,-73.98282002
3336,E 97 St & Madison Ave,-73.953559
3337,Dwight St & Van Dyke St,-74.01195555925369
3338,2 Ave & E 99 St,-73.94552579
3339,Berkeley Pl & 6 Ave,-73.97846879
3340,Wolcott St & Dwight St,-74.0100698
3341,Central Park West & W 102 St,-73.96186
3342,Pioneer St & Richards St,-74.0094613
3343,W 107 St & Columbus Ave,-73.9621128676
3344,Pioneer St & Van Brunt St,-74.011169
3345,Madison Ave & E 99 St,-73.95242929458618
3346,Berkeley Pl & 7 Ave,-73.97523209452629
3347,Van Brunt St & Wolcott St,-74.01275056
3348,Coffey St & Conover St,-74.015665
3349,Grand Army Plaza & Plaza St West,-73.97087984
3350,W 100 St & Broadway,-73.97041192
3351,E 102 St & 1 Ave,-73.94164802
3352,Sigourney St & Columbia St,-74.0087952464819
3354,3 St & Prospect Park West,-73.97363831
3355,E 66 St & Madison Ave,-73.96845281124115
3356,Amsterdam Ave & W 66 St,-73.98470567
3357,W 106 St & Amsterdam Ave,-73.9664492472
3358,Garfield Pl & 8 Ave,-73.97484126
3359,E 68 St & Madison Ave,-73.96703464
3360,Amsterdam Ave & W 79 St,-73.9786517
3361,Carroll St & 6 Ave,-73.9787282
3362,Madison Ave & E 82 St,-73.96069399
3363,E 102 St & Park Ave,-73.95033068
3364,Carroll St & 5 Ave,-73.9814832
3365,3 St & 7 Ave,-73.97839676
3366,West End Ave & W 107 St,-73.9681805305
3367,5 Ave & E 103 St,-73.95249933
3368,5 Ave & 3 St,-73.98352355
3369,E 82 St & East End Ave,-73.9468208
3370,E 78 St & 2 Ave,-73.95577801
3372,E 74 St & 1 Ave,-73.95482273
3373,3 St & 3 Ave,-73.98775226
3374,Central Park North & Adam Clayton Powell Blvd,-73.955613
3375,3 Ave & E 72 St,-73.96060712
3376,E 65 St & 2 Ave,-73.96222069859505
3377,Carroll St & Bond St,-73.99037292
3378,E 76 St & Park Ave,-73.96222088
3379,E 103 St & Lexington Ave,-73.94755757
3381,3 St & Hoyt St,-73.99364123
3382,Carroll St & Smith St,-73.99475825
3383,Cathedral Pkwy & Broadway,-73.96699104
3384,Smith St & 3 St,-73.99599099
3386,1 Pl & Clinton St,-73.99905709
3387,E 106 St & Madison Ave,-73.94945003
3388,President St & Henry St,-73.99990419
3389,Carroll St & Columbia St,-74.00348559
3390,E 109 St & 3 Ave,-73.9432083
3391,E 106 St & 1 Ave,-73.93956237
3392,Commerce St & Van Brunt St,-74.00860912
3393,Richards St & Delavan St,-74.00785041
3394,Columbia St & W 9 St,-74.00647134
3395,Henry St & W 9 St,-74.00324957
3396,Clinton St & 4 Place,-74.00014502
3397,Court St & Nelson St,-73.99869893
3398,Smith St & 9 St,-73.99785768
3399,7 St & 3 Ave,-73.98983001708984
3400,E 110 St & Madison Ave,-73.94782145
3402,Court St & State St,-73.99203074
3403,4 Ave & 9 St,-73.98876585
3404,7 St & 5 Ave,-73.98541675
3405,5 St & 6 Ave,-73.98208968
3407,Union St & Nevins St,-73.98765474557877
3408,Congress St & Clinton St,-73.99520919
3409,Bergen St & Smith St,-73.99063168
3410,Dean St & Hoyt St,-73.98759104
3411,Bond St & Bergen St,-73.98620772
3412,Pacific St & Nevins St,-73.98302136
3414,Bergen St & Flatbush Ave,-73.97567331790923
3415,Prospect Pl & 6 Ave,-73.97519523
3416,7 Ave & Park Pl,-73.97324283
3417,Baltic St & 5 Ave,-73.97854971
3418,Plaza St West & Flatbush Ave,-73.97111473
3419,Douglass St & 4 Ave,-73.98154004
3420,Douglass St & 3 Ave,-73.98432695
3421,Hoyt St & Warren St,-73.98901629
3422,Columbia St & Degraw St,-74.00242364
3423,West Drive & Prospect Park West,-73.97945255041122
3424,E 106 St & Lexington Ave,-73.945993
3425,2 Ave & E 104 St,-73.94370784
3429,Hanson Pl & Ashland Pl,-73.97790759801863
3430,Richardson St & N Henry St,-73.94223690032959
3435,Grand St & Elizabeth St,-73.99596
3437,Riverside Dr & W 91 St,-73.97700369358063
3440,Fulton St & Adams St,-73.98949474096298
3443,W 52 St & 6 Ave,-73.97982001304626
3452,Bayard St & Leonard St,-73.94885390996933
3453,Devoe St & Lorimer St,-73.9491033554077
3454,Leonard St & Maujer St,-73.94705951213837
3456,Jackson St & Leonard St,-73.94821286201477
3457,E 58 St & Madison Ave,-73.97209525108337
3461,Murray St & Greenwich St,-74.01122331619263
3463,E 16 St & Irving Pl,-73.98797392845154
3467,W Broadway & Spring St,-74.00165855884552
3469,India St & West St,-73.95995020866394
3472,W 15 St & 10 Ave,-74.00747358798981
3477,39 St & 2 Ave,-74.01062786579132
3478,2 Ave & 36 St,-74.00870203971863
3481,York St,-74.04105
3483,Montgomery St,-74.05099
3486,Schermerhorn St & Bond St,-73.98451656103134
3490,E 116 St & 2 Ave,-73.937261
3491,E 118 St & 1 Ave,-73.93504
3492,E 118 St & Park Ave,-73.9419949
3493,E 118 St & 3 Ave,-73.9389152
3494,E 115 St & Lexington Ave,-73.9423
3495,E 114 St & 1 Ave,-73.9362541
3496,1 Ave & E 110 St,-73.9383
3497,Pleasant Ave & E 116 St,-73.9333349
3498,Pleasant Ave & E 120 St,-73.9311847
3499,2 Ave & E 122 St,-73.9349
3500,E 115 St & Madison Ave,-73.944846
3501,E 118 St & Madison Ave,-73.9442507
3502,Lexington Ave & E 111 St,-73.9441232
3503,Madison Ave & E 120 St,-73.942954
3504,E 123 St & Lexington Ave,-73.9379
3505,Lexington Ave & E 127 St,-73.936322
3506,Lexington Ave & E 120 St,-73.9398167
3507,Park Ave & E 124 St,-73.9396861
3508,St Nicholas Ave & Manhattan Ave,-73.953149
3509,Lenox Ave & W 115 St,-73.9500739
3510,Adam Clayton Powell Blvd & W 123 St,-73.949373
3511,Adam Clayton Powell Blvd & W 115 St,-73.9532423
3513,21 St & Hoyt Ave S,-73.923706
3514,Astoria Park S & Shore Blvd,-73.927631
3515,24 Ave & 26 St,-73.918544
3516,31 St & Astoria Blvd,-73.9184057
3517,31 St & Hoyt Ave N,-73.9170074
3518,Lenox Ave & W 126 St,-73.9452087
3520,Adam Clayton Powell Blvd & W 118 St,-73.951475
